reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.25,14.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.3,16.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.35,17.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.4,18.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.45,18.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.5,18.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.55,19.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.6,20.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.65,22.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.7,23.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.75,24.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.8,25.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.85,28.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.9,31.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.95,37.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.975,47.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.99,60.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.01,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.025,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.05,1.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.1,2.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.15,2.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.2,3.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.25,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.3,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.35,4.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.4,4.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.45,4.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.5,5.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.55,5.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.6,5.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.65,6.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.7,6.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.75,7.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,10,quantile,0.8,7.0
