output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.5,9.989665330011304e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.55,0.0010321317364593414,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.6,0.0010591448211251554,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.65,0.00109958789813883,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.7,0.0011308340186173688,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.75,0.001167571870093307,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.8,0.0012076508357018638,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.85,0.0012503611763338297,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.9,0.001323450523320179,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.95,0.0014256453263481966,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.975,0.0015303572667519365,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.99,0.001651218038390542,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.01,0,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.025,0,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.05,0,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.1,1.6250026393737192e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.15,1.7110955571086712e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.2,1.8399341454072848e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.25,3.239869518136787e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.3,3.357349200812096e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.35,0.00035175354785732863,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.4,4.6662862021556794e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.45,4.957758416581872e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.5,5.195763521899381e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.55,5.972997853699153e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.6,6.586693253743757e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.65,6.93032901134422e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.7,7.565456012050743e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.75,8.458812752970733e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.8,9.303445965735157e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.85,0.001035077548075595,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.9,0.001191493189445012,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.95,0.0014359366535044826,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.975,0.0016590312314339812,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.99,0.0019201472536692888,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,11
quantile,0.01,4.991895073849132e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.025,6.11896433851124e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.05,7.195945219873201e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.1,8.391215310598856e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.15,9.703505672593635e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.2,0.0010577866486733475,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.25,0.0011406741266328368,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.3,0.0012072152846272467,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.35,0.0012664835950534836,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.4,0.0013276902709036223,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.45,0.0013883769229862547,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.5,0.001458697333340905,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.55,0.001526459054823071,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.6,0.0015831703303259166,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.65,0.0016639815166501716,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.7,0.0017428779006613724,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.75,0.0018420232400091874,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.8,0.0019671803286287746,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.85,0.002110910790154125,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.9,0.0022485969884496974,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.95,0.002524118026716771,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.975,0.0028534803902979778,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.99,0.0030782274506325163,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,10
quantile,0.01,7.896007631799864e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.025,8.206734447397344e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.05,8.529091766364879e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.1,8.907406545168816e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.15,9.194719121566027e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.2,9.426855305874351e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.25,9.634902718792911e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.3,9.804723192547394e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.35,9.995548711782942e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.4,0.0010186025204718641,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
quantile,0.45,0.0010334342662041609,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,12
