reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.35,1.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.4,1.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.45,1.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.5,2
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.55,2
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.6,2.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.65,2.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.7,2.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.75,2.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.8,3
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.85,4
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.9,4.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.95,5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.975,7
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.99,9
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.01,12
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.025,19.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.05,22.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.1,26.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.15,28.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.2,29.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.25,30.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.3,32
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.35,33.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.4,34.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.45,35.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.5,36.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.55,38
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.6,39.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.65,41.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.7,41.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.75,42.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.8,45.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.85,48.5
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.9,51.25
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.95,58
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.975,63.75
2026-05-02,04,0,wk inc rsv hosp,2026-05-02,quantile,0.99,76.5
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.01,9.25
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.025,15.75
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.05,16.75
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.1,19.200000000000003
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.15,20.5
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.2,22.25
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.25,23
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.3,24.099999999999966
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.35,25.25
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.4,26.25
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.45,27.5
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.5,29.5
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.55,30
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.6,32
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.65,33.5
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.7,35.25
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.75,36.75
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.8,39
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.85,42.75
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.9,44.75
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.95,50.75
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.975,58.5
2026-05-02,04,1,wk inc rsv hosp,2026-05-09,quantile,0.99,73.255
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.01,4
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.025,9
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.05,10.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.1,12.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.15,14
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.2,15.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.25,16.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.3,17.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.35,18
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.4,19
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.45,19.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.5,21.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.55,22.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.6,24.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.65,27
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.7,27.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.75,29.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.8,32.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.85,34.5
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.9,37
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.95,44
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.975,55
2026-05-02,04,2,wk inc rsv hosp,2026-05-16,quantile,0.99,75.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.01,3.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.025,8
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.05,9
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.1,11.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.15,13
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.2,13.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.25,14
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.3,15
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.35,15
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.4,16
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.45,17
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.5,19
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.55,19
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.6,20.5
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.65,22
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.7,23
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.75,25
2026-05-02,04,3,wk inc rsv hosp,2026-05-23,quantile,0.8,28.5
